"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "XML", "Markdown", "Prisma", "comment", "blank", "total"
"/Users/pkp/Documents/development/grasp_web/src/app/components/Search/search.tsx", "TypeScript JSX", 116, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 159
"/Users/pkp/Documents/development/grasp_web/src/app/components/hydrate-client.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/pkp/Documents/development/grasp_web/src/app/components/modals/LoginModal.tsx", "TypeScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 0, 23, 18, 130
"/Users/pkp/Documents/development/grasp_web/src/app/components/modals/Modal.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 122
"/Users/pkp/Documents/development/grasp_web/src/app/components/modals/RegisterModal.tsx", "TypeScript JSX", 127, 0, 0, 0, 0, 0, 0, 0, 0, 55, 28, 210
"/Users/pkp/Documents/development/grasp_web/src/app/components/modals/UploadModal.tsx", "TypeScript JSX", 108, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 133
"/Users/pkp/Documents/development/grasp_web/src/app/creatorStudio/page.tsx", "TypeScript JSX", 61, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 99
"/Users/pkp/Documents/development/grasp_web/src/app/editor/[postID]/EditorClient.tsx", "TypeScript JSX", 351, 0, 0, 0, 0, 0, 0, 0, 0, 47, 75, 473
"/Users/pkp/Documents/development/grasp_web/src/app/editor/[postID]/loading.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/pkp/Documents/development/grasp_web/src/app/editor/[postID]/page.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 36
"/Users/pkp/Documents/development/grasp_web/src/app/globals.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 8, 47
"/Users/pkp/Documents/development/grasp_web/src/app/hooks/useLoginModal.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/pkp/Documents/development/grasp_web/src/app/hooks/useRegisterModal.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/pkp/Documents/development/grasp_web/src/app/hooks/useUploadModal.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/pkp/Documents/development/grasp_web/src/app/layout.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/pkp/Documents/development/grasp_web/src/app/libs/gcs.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/pkp/Documents/development/grasp_web/src/app/libs/getQueryClient.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/pkp/Documents/development/grasp_web/src/app/libs/prismadb.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/pkp/Documents/development/grasp_web/src/app/loading.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/pkp/Documents/development/grasp_web/src/app/membership/page.tsx", "TypeScript JSX", 84, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 106
"/Users/pkp/Documents/development/grasp_web/src/app/page.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 84
"/Users/pkp/Documents/development/grasp_web/src/app/providers.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/pkp/Documents/development/grasp_web/src/app/providers/ToasterProvider.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/pkp/Documents/development/grasp_web/src/app/types/index.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/pkp/Documents/development/grasp_web/src/app/upload/UploadClient.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 145
"/Users/pkp/Documents/development/grasp_web/src/app/upload/loading.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/pkp/Documents/development/grasp_web/src/app/upload/page.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 43
"/Users/pkp/Documents/development/grasp_web/src/app/userSettings/page.tsx", "TypeScript JSX", 128, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 151
"/Users/pkp/Documents/development/grasp_web/src/app/view/[postID]/PostClient.tsx", "TypeScript JSX", 142, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26, 171
"/Users/pkp/Documents/development/grasp_web/src/app/view/[postID]/loading.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/pkp/Documents/development/grasp_web/src/app/view/[postID]/page.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 44
"/Users/pkp/Documents/development/grasp_web/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"/Users/pkp/Documents/development/grasp_web/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 1, 29
"Total", "-", 2623, 38, 535, 10879, 35, 26, 3, 21, 63, 350, 717, 15290
